报告日期,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-03-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
货币资金(万元),1489782,1536106,1285605,1563635,1664679,1586475,1741267,1617141,1548023,1427297,1313661,1212415,1178071,1154377,599607,522371,527035,446687,202005,178471
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2539,--,--,--
衍生金融资产(万元),1760,982,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
应收票据(万元),7544,13170,13325,5197,40,9608,4014,11,245,2758,427,484,514,5459,3994,48,45,2510,2159,63
应收账款(万元),221078,165868,192834,186990,174087,144312,157431,193600,175211,166771,177208,178464,163591,157275,170809,137065,142251,102643,121343,137099
预付款项(万元),24196,23787,23024,18908,19530,20553,21463,16757,14828,13746,15471,15397,13084,12241,14735,12602,10730,9166,8584,6194
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
应收利息(万元),--,--,30501,28099,26227,23881,22385,19565,18524,14312,11826,8320,4177,965,--,469,442,299,813,10336
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
其他应收款(万元),--,12604,--,9786,--,5602,--,9748,--,10162,--,17112,--,12517,17788,14135,14556,6723,9022,12054
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
存货(万元),388686,356533,330108,336797,386834,354072,351054,365674,286481,226460,216005,187388,178539,169895,187762,166014,156744,103117,100150,91995
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
一年内到期的非流动资产(万元),2637,2637,2539,2480,2390,2393,2275,2021,1916,1959,1799,1682,1594,1664,1561,1643,1770,2151,4146,4003
其他流动资产(万元),17282,21799,12553,13436,23663,16255,13023,9245,10829,8943,5943,5079,3993,4857,3468,3467,2966,57759,251989,488590
流动资产合计(万元),2167684,2133485,1900453,2165328,2307998,2163150,2320019,2233763,2070818,1872409,1758453,1626340,1564171,1519249,999724,857814,859079,731056,700210,928806
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
长期应收款(万元),3252,3455,3209,1919,197,332,2691,3032,2120,1563,627,716,914,934,894,1654,2526,881,1617,1178
长期股权投资(万元),6168,2636,2346,2402,2365,2554,2379,2448,1490,500,--,--,--,--,--,--,--,--,--,--
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
投资性房地产(万元),4478,4526,3782,3824,5928,6123,6317,6512,6707,6902,3370,3533,3695,3857,4019,4352,4505,5154,--,--
固定资产原值(万元),--,563146,--,510746,--,480688,--,427354,--,411430,--,399724,--,390143,--,369373,368657,323874,283543,--
累计折旧(万元),--,185312,--,172955,--,160110,--,151661,--,142492,--,140347,--,132294,--,121276,118413,105058,95262,--
固定资产净值(万元),--,377833,--,337791,--,320579,--,275693,--,268938,--,259377,--,257850,--,248097,250244,218816,188281,--
固定资产减值准备(万元),--,654,--,654,--,668,--,723,--,505,--,599,--,727,--,649,671,877,749,--
固定资产(万元),--,377179,--,337137,--,319911,--,274971,--,268433,--,258777,--,257123,255100,247448,249573,217939,187532,180705
在建工程(万元),--,112631,--,113930,--,92984,--,108378,--,97517,--,92023,--,83737,74148,70591,60965,79574,100380,67192
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
无形资产(万元),190885,206121,204958,108469,111085,114508,103852,94638,91963,95348,89045,89569,91982,90065,89935,82788,84861,83891,89036,118123
开发支出(万元),17860,14006,27963,27797,22239,17441,19423,22447,18439,14568,18765,15929,11972,13582,11030,13894,10954,9678,--,--
商誉(万元),415721,421833,435227,121377,123263,122456,127294,131864,131959,130112,141199,137837,135442,137642,137913,127886,132061,138914,131392,130925
长期待摊费用(万元),8057,8417,8824,3021,3253,2975,2793,2810,2028,2145,2190,2102,2128,2267,2244,2287,2027,1535,2953,4157
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
递延所得税资产(万元),47479,59643,48583,44450,42217,50189,56536,54048,50061,45719,52084,49260,46456,42015,43645,30918,28203,19724,11178,9205
其他非流动资产(万元),449364,443047,444977,439392,440367,438015,35657,28240,24508,28201,25976,15027,13282,12268,15922,11182,9090,9058,12007,17847
非流动资产合计(万元),1665962,1676817,1661920,1225165,1196038,1167489,758651,729387,700705,691006,689461,664774,650664,643489,634850,593001,584765,566348,536095,529331
资产总计(万元),3833646,3810302,3562373,3390493,3504036,3330639,3078670,2963150,2771523,2563415,2447914,2291114,2214835,2162739,1634574,1450815,1443844,1297404,1236304,1458137
短期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,154096,174157,180112,186496,32468,30595
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13896,464,--,--
衍生金融负债(万元),--,--,450,679,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
应付票据(万元),--,--,--,--,--,--,--,--,105,222,759,762,--,585,--,3649,2881,4181,5841,5650
应付账款(万元),249700,228111,182147,171027,201092,149959,134372,228299,190750,124173,154312,145289,--,93452,--,107751,96997,63927,58764,57235
预收账款(万元),38,23,--,--,--,--,--,--,--,98757,58251,67248,76104,100296,68967,82136,114044,87285,35785,19223
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
应付职工薪酬(万元),222333,177104,203600,178820,161151,151744,180961,162559,149426,131077,139853,120779,85428,112809,113804,52794,88489,67653,72737,70131
应交税费(万元),34425,47365,49715,40583,24048,34718,37458,51500,23695,29125,32080,35316,38481,41627,29639,31635,20003,22098,27334,12854
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1007,673,749,336,330
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20000,--,--
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
其他应付款(万元),--,130905,--,126547,--,123854,--,107224,--,103772,--,93748,--,93716,87197,81043,87900,86814,128796,116200
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
一年内到期的非流动负债(万元),8502,8508,7559,6703,6564,--,--,--,--,--,--,--,--,--,--,--,4279,--,125212,5717
其他流动负债(万元),31654,30071,29271,29621,34210,34009,19364,20976,18099,17156,17539,18609,16092,16722,15546,14106,14344,17899,17047,8947
流动负债合计(万元),881209,862907,788923,782738,868327,823624,700035,788254,647760,504282,493883,481750,428865,459206,592412,548277,623617,557565,504320,326882
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,167780,31120,120225
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4852,50,121
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
预计非流动负债(万元),19270,18677,19107,18335,17399,14473,13472,12286,12253,11188,9174,8831,9415,8542,7362,6877,5895,3549,3325,8033
长期递延收益(万元),10364,10509,8827,15364,16004,15679,14825,15019,14262,37953,25079,24816,24916,20244,21446,20954,25192,27785,29779,21150
递延所得税负债(万元),18998,20044,23054,4251,4484,4662,4995,5332,6067,5725,6303,6464,6634,6937,7201,7388,7791,12146,12934,15459
其他非流动负债(万元),5020,4972,4993,4318,4298,4240,5533,4506,3791,161,657,643,627,630,612,549,563,838,976,85
非流动负债合计(万元),147465,250590,191853,150886,134342,177977,172529,153620,130944,197428,191303,177596,168746,185701,182412,158995,154814,279764,78184,165073
负债合计(万元),1028674,1113498,980775,933624,1002668,1001601,872564,941874,778704,701710,685186,659346,597611,644907,774824,707273,778431,837329,582503,491955
实收资本(或股本)(万元),121244,121569,121569,121569,121569,121569,121569,121569,121569,121569,121569,121569,121569,121569,109409,109409,109409,109409,35000,35000
资本公积(万元),721206,815258,815258,815258,815258,815258,814757,814757,817127,817127,817127,817127,817127,817127,254107,258475,258475,269256,26270,70178
减:库存股(万元),99999,99999,99999,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
盈余公积(万元),60785,60785,60785,60785,60785,60785,60785,60785,60785,60785,60785,60785,60785,60785,54705,54705,54705,37513,17500,17500
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
未分配利润(万元),2049148,1838641,1704774,1472929,1513912,1342409,1212957,1022004,990322,859961,759015,628806,614036,514550,438370,319425,238706,29982,555787,803378
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
归属于母公司股东权益合计(万元),2803258,2695280,2580078,2455487,2500043,2327763,2204912,2020165,1990376,1859311,1760504,1629682,1615200,1515832,857861,739923,661993,451981,637338,932374
少数股东权益(万元),1714,1524,1519,1382,1325,1275,1195,1111,2444,2394,2224,2085,2024,1999,1889,3619,3420,8094,16463,33808
所有者权益(或股东权益)合计(万元),2804972,2696805,2581598,2456869,2501367,2329038,2206107,2021276,1992819,1861705,1762728,1631767,1617224,1517832,859750,743542,665413,460075,653801,966182
负债和所有者权益(或股东权益)总计(万元),3833646,3810302,3562373,3390493,3504036,3330639,3078670,2963150,2771523,2563415,2447914,2291114,2214835,2162739,1634574,1450815,1443844,1297404,1236304,1458137